σ,σ_ss,n_default,degree,interm,eq_r_l,mean_liq,sd_liq,mean_ib_share,sd_ib_share,mean_eq_req,sd_eq_req
1.001,-1.5,1,1.7,0,0.052819824218750006,0.00985101372257373,0.0002016908381669578,0.1682651887789952,NaN,0.38121655717381064,0.5383349690590287
1.001,-1.5,1,1.95,1,0.043750000000000004,0.03415696255766652,0.05026506076016731,0.177542824575955,NaN,0.3222768461515586,0.3972622788186409
1.001,-1.5,1,1.65,1,0.0546875,0.035377023860142784,0.04531491096964783,0.1631693132659515,NaN,0.43502380682664193,0.555617214426127
1.001,-1.5,2,1.4,1,0.04355468750000001,0.010322208516296227,0.002523206040336128,0.1496430205440434,NaN,0.443270507904137,0.6035793311157537
1.001,-1.5,1,2.05,2,0.02109375,0.013524508943355728,0.0054920811603235645,0.17798500081192414,NaN,0.34851824042320867,0.5595150843702469
1.001,-1.5,1,1.95,1,0.03691406250000001,0.00984465581213582,0.00018718574401230205,0.19345356257022278,NaN,0.35590860553824755,0.3665200482180189
1.001,-1.5,1,1.7,0,0.032421875,0.013960890749253524,0.00687939793048378,0.16423926951045867,NaN,0.3501630655120827,0.40260537119532763
1.001,-1.5,1,1.9,1,0.045312500000000006,0.04003140859546079,0.13444082769739635,0.16898771015625383,NaN,0.273784709353175,0.27850238182933906
1.001,-1.5,1,1.65,0,0.05,0.009906870155857766,0.00010946727411204612,0.16875334483721013,NaN,0.3198123767879765,0.2603359940685434
1.001,-1.5,2,1.95,0,0.02734375,0.012351467427365755,0.010645017719534524,0.15016748174018837,NaN,0.23680298727299945,0.25969672503007835
1.001,-1.5,1,1.6,0,0.06367187499999999,0.009948496658394848,6.276210542375671e-5,0.15559422740983878,NaN,0.45329807398922994,0.6103483904659219
1.001,-1.5,1,1.75,0,0.037298583984375,0.07050055470210506,0.10095228831236594,0.16258453182644678,NaN,0.27603517800336896,0.2783468917995328
1.001,-1.5,4,1.5,0,0.059375,0.016102549567882422,0.012115735631222093,0.164810292532602,NaN,0.34185299167647937,0.30601850783786566
1.001,-1.5,3,2.05,1,0.066796875,0.009938223003008903,8.743911322273799e-5,0.15475653876600748,NaN,0.25806945884435273,0.2572821275785428
1.001,-1.5,3,1.85,1,0.04990234375,0.05225561693797874,0.1849887254008601,0.1578254663708635,NaN,0.4224235450970652,0.6175665994936421
1.001,-1.5,1,1.75,0,0.04355468750000001,0.010662120817761567,0.0011248679346290097,0.16441735920710915,NaN,0.2479959494934348,0.23131781451397257
1.001,-1.5,5,1.95,1,0.025,0.06380727234484507,0.19875284957373096,0.13680301996062322,NaN,0.40107100937535317,0.6369941843272013
1.001,-1.5,1,1.8,0,0.05502357482910156,0.01812368748523714,0.03736231184786112,0.16527191788502996,NaN,0.2789127417508247,0.24169050366258102
1.001,-1.5,1,1.7,0,0.05859375,0.0173977676121952,0.01311058020783496,0.15017564230615849,NaN,0.4008329949340035,0.5619471437393484
1.001,-1.5,3,1.4,1,0.0664031982421875,0.06627646705903603,0.11375806196607853,0.14704166714235475,NaN,0.41083779751164656,0.40204540577538134
1.001,-1.5,1,2.0,0,0.03515625,0.01965342129126058,0.016388480019983408,0.17418520428544187,NaN,0.2476025181170653,0.23562204203217563
1.001,-1.5,1,1.7,0,0.05625,0.0198877500940031,0.044748175946050024,0.14041989502648627,NaN,0.45322988991616453,0.6234000916396115
1.001,-1.5,1,2.1,2,0.03747558593750001,0.04153668532030793,0.0395316270626653,0.15875209367624393,NaN,0.29725635074087375,0.5547839333483509
1.001,-1.5,6,2.05,0,0.04553222656250001,0.009937387465399886,7.868118659286827e-5,0.17838140036265518,NaN,0.2547590041053922,0.2270139776010709
1.001,-1.5,1,1.55,1,0.04062194824218751,0.009862688015584632,0.00014119602714071313,0.13293938504615752,NaN,0.39465753449877616,0.5392319857330692
1.001,-1.5,1,1.7,0,0.05,0.02729010043971077,0.0283282499270108,0.1551964192818465,NaN,0.327702776407678,0.38453168601038007
1.001,-1.5,9,1.75,3,0.0517578125,0.009656569981406436,0.0003610973134163326,0.16574155030359092,NaN,0.3545707893475524,0.31577317031739477
1.001,-1.5,4,1.55,0,0.05390625,0.012999745101421531,0.005652091404492111,0.13858754115863942,NaN,0.45207555638170344,0.6205297503044807
1.001,-1.5,1,1.5,0,0.0546875,0.014767438546023012,0.008796192863160619,0.15560982479785682,NaN,0.48063924174071315,0.6179373221884212
1.001,-1.5,1,1.95,1,0.00625,0.1854310591989353,0.38091550028643234,0.1604877466937696,NaN,0.34576252226672755,0.5344335255690507
1.001,-1.5,4,1.5,0,0.04203605651855468,0.014988176352762167,0.010825474981236125,0.14432434687183185,NaN,0.47645237329363416,0.6190563876023075
1.001,-1.5,1,1.6,1,0.05663986206054687,0.013417433066598903,0.015491680215165506,0.14301709401722604,NaN,0.388184762148727,0.5724258383247186
1.001,-1.5,1,1.4,0,0.05,0.00990456964216646,0.00010366959501864449,0.15679071269348152,NaN,0.4225126807035743,0.47003394826107003
1.001,-1.5,1,2.05,0,0.0140625,0.026112122059861142,0.019707505733160015,0.15654869568627752,NaN,0.3186268405348472,0.5796922595531715
1.001,-1.5,1,1.45,1,0.037500000000000006,0.009875527274052744,0.0001237228566513449,0.1297219847057232,NaN,0.3364279047206404,0.29339949182948727
1.001,-1.5,3,1.9,2,0.04421081542968751,0.0305995877391624,0.07570694386234379,0.1683181693024906,NaN,0.31925306547825605,0.39469922454975753
1.001,-1.5,2,2.15,1,0.0548828125,0.06345843759112701,0.1831838202985009,0.1687186570774566,NaN,0.2132701419341773,0.23929654911424172
1.001,-1.5,5,1.55,2,0.049609375000000004,0.015077723634335427,0.008158117539117599,0.14673059203432973,NaN,0.3716524675521215,0.42382682463450233
1.001,-1.5,1,2.0,2,0.055364990234374994,0.023304413925142597,0.02122779976581609,0.16629504039040646,NaN,0.2783125398587554,0.27237365648690426
1.001,-1.5,3,1.7,0,0.0544921875,0.009867049928524847,0.00015929157412474876,0.1618574580574539,NaN,0.32293677785653196,0.27865433159479935
1.001,-1.5,6,1.55,0,0.060156249999999994,0.009918910774634205,9.506680151421462e-5,0.1691740044358129,NaN,0.37422597429134363,0.3731271912229523
1.001,-1.5,1,1.7,1,0.0484375,0.040252563256104476,0.13555640219473952,0.1668785985800146,NaN,0.37011382274043664,0.3973917132957525
1.001,-1.5,1,1.85,1,0.034375,0.009893559045778476,0.0001547652525711854,0.17085840399981264,NaN,0.2908695529429238,0.3757185195032474
1.001,-1.5,3,2.1,3,0.043750000000000004,0.05012801033042221,0.0598862932148622,0.18923099172398306,NaN,0.2427163086985789,0.22974680496088506
1.001,-1.5,3,1.15,0,0.05858154296875,0.01983323935024574,0.04476101058197173,0.13879793098736817,NaN,0.49902311525327014,0.5859811758118392
1.001,-1.5,1,2.0,2,0.03458251953125001,0.06898786338130738,0.26409267853528634,0.18070307952315626,NaN,0.2763220927277139,0.25863922732241484
1.001,-1.5,4,2.2,0,0.03281059265136719,0.06093423715586814,0.11865741516377801,0.1594906842113828,NaN,0.25758110815439916,0.3051342055415375
1.001,-1.5,5,1.95,1,0.018750000000000003,0.07787619629150475,0.3041644245837117,0.16839671488166255,NaN,0.30462117519290205,0.3590599848103645
2.001,-1.5,3,2.05,2,0.037500000000000006,0.012868568142843062,0.0042151942415853075,0.17199868712991928,NaN,0.2616678012380847,0.2713743759696787
2.001,-1.5,9,1.7,3,0.053125000000000006,0.016085927338618362,0.010423424185044536,0.18693366400216235,NaN,0.4517757474130117,0.6215079952086516
2.001,-1.5,3,1.85,0,0.03671875000000001,0.027693719928838418,0.03205477012544354,0.15535085862723333,NaN,0.21756751802429264,0.18327392932873093
