149823466,8;1213572477
282408633,1;1675024955
155073061,3;928461485,8
109265342,9;850314458,8
584450153,8;4855376010
119148506,5;1019215800
77415768,66;588549132,1
128796486,3;982787234,5
933804958,4;7345408954
822135477;5580069955
163510076,9;1050697877
118941601,2;747883999,7
176676192;1212323100
849090389,5;6956206256
376062312,1;2730339590
472987938,7;2875427039
238380936,3;2036234078
333756321,3;1800457781
69251227,51;448879198,7
767995579,1;5242945281
240568582;1574460984
679636201,3;5096594323
1050929841;6884592497
639344717,3;3955187834
1671758763;12018033327
600454691,9;4155380562
508996933,9;3690815998
62847645,24;380597588,4
222847206,9;1324449690
104993313,2;715480686,8
219090990,1;1241283610
112661439,5;756398364,8
659506027,4;3964211092
88356187,72;315747698
108927220,6;826843438
436249950,5;2357528486
785146687,2;1833502849
166823859,4;811060768,8
159610344,9;805315783,4
37684328,73;281108462,5
76578314,64;577131692,7
78887505,71;753800099,3
248908108,5;1170024115
570118282,4;4073509404
261605676,5;1100552443
274625475,7;1022106007
105012983;708935572,6
983263873,3;5138239018
475826807,2;4137231762
89480532,81;740889410,8
155185083;1296671800
