σ,σ_ss,n_default,degree,interm,eq_r_l,mean_liq,mean_ib_share,mean_eq_req,mean_n_share
1.001,-1.5,1,1.15,1,0.0328125,0.2980204864729129,0.11176646110638502,0.12187592510718448,0.6078062306190237
1.001,-1.5,1,1.2,1,0.06256103515625,0.11095535041279211,0.11488802672148263,0.11506457744761012,0.6652833622611916
1.001,-1.5,3,0.95,2,0.0314453125,0.2224111205538693,0.07811499911540999,0.17537976599927033,0.583713633388337
1.001,-1.5,2,1.15,1,0.050048828125,0.221276704117983,0.09709365522940482,0.15434586769027275,0.5595962536297063
1.001,-1.5,3,1.1,0,0.02421875,0.1296019253501255,0.10978374169541652,0.11170090844061198,0.675243744981856
1.001,-1.5,1,1.05,0,0.037500000000000006,0.11991020779676523,0.08692022129671083,0.11536375602410012,0.7200662833311503
1.001,-1.5,3,1.1,0,0.044140625,0.12035373607731432,0.09187315722396008,0.12825755424022717,0.643814184470326
1.001,-1.5,1,1.1,1,0.02000122070312501,0.40735680089044735,0.13468142970725352,0.1416195755649886,0.4668459021619208
1.001,-1.5,1,1.1,0,0.020312500000000004,0.36682536013917105,0.09221930536170318,0.15484683526825516,0.6193748270030893
1.001,-1.5,2,0.8,0,0.03125,0.09007010915882692,0.06415948663321243,0.16265173152234694,0.662363600965764
1.001,-1.5,1,0.95,0,0.04062500000000001,0.25423862141553377,0.0971644570968259,0.1233242936997578,0.6272689009737308
1.001,-1.5,4,1.3,0,0.020019531250000007,0.6012688622622814,0.1221120269527388,0.17494235715574363,0.423295143916356
1.001,-1.5,1,1.1,0,0.048242187500000006,0.14436067001899275,0.08362448744124733,0.14603315750736323,0.5727427587336926
1.001,-1.5,4,0.9,0,0.033984375000000004,0.12021132612579184,0.0920206207488808,0.15924259639299576,0.5617433206015814
1.001,-1.5,2,1.1,0,0.04609375,0.06671994609325226,0.09805146831231663,0.11807830581117126,0.6607536710922504
1.001,-1.5,4,1.3,0,0.020007324218750008,0.4724028710485603,0.12029368754116125,0.16057592767040565,0.46149273472744223
1.001,-1.5,1,0.95,0,0.025,0.14289188576017392,0.09548527006996674,0.11974235981209898,0.700341524979543
1.001,-1.5,6,1.3,0,0.03710937500000001,0.24115743467695108,0.10331634932991288,0.10412219767928213,0.701029416365121
1.001,-1.5,1,1.25,0,0.020000457763671885,0.3260041794866227,0.11640244058910272,0.12324083472713912,0.5727356152260153
1.001,-1.5,1,1.0,0,0.046875,0.0665566800239227,0.08758716659455058,0.17196013370187405,0.6413860776061929
1.001,-1.5,1,1.1,0,0.03569335937500001,0.07482245973037369,0.08653913335123173,0.11395443738759747,0.7563360982769314
1.001,-1.5,1,1.0,0,0.02421875,0.10669294207843909,0.09579265816326929,0.12626022600395298,0.6753295243540719
1.001,-1.5,3,1.35,1,0.025,0.7570149218034652,0.1485483403564159,0.1685369089731847,0.41617771754672883
1.001,-1.5,1,1.25,1,0.020000076293945325,0.38095027242306573,0.12186241640002864,0.13062118896220315,0.5894336354728804
1.001,-1.5,3,1.05,0,0.020043945312500006,0.182086570757908,0.10157916078579038,0.1519472665582926,0.5686673573049406
1.001,-1.5,2,1.3,0,0.020000076293945325,0.5770350576944988,0.12284251731666239,0.15117850037417657,0.5106904013673457
1.001,-1.5,1,1.2,1,0.0609375,0.07075902188757387,0.09126318045069118,0.16530542209713758,0.5843696779528132
1.001,-1.5,1,1.2,0,0.020000457763671885,0.4138645587975594,0.12662904141267078,0.15977165803534538,0.5103345566090185
1.001,-1.5,3,1.05,0,0.04267578125,0.183228329029617,0.10032063353298115,0.10661505161858906,0.706358112892495
1.001,-1.5,1,1.05,0,0.029833984374999997,0.1334016880781756,0.10028310160375953,0.1357173555304906,0.613030326488923
1.001,-1.5,4,1.15,1,0.02734375,0.25835881839026936,0.0845372279460144,0.14411998098473053,0.5797173155653371
1.001,-1.5,1,1.35,2,0.03906250000000001,0.22329301372303317,0.1048428981264921,0.16668793068332802,0.5513247539227366
1.001,-1.5,2,0.85,1,0.01999816894531251,0.5015027710693652,0.04809153658740074,0.4971071536419657,0.5101541482109799
1.001,-1.5,3,0.55,0,0.019970703125000006,0.43029376800389646,0.038520797947266594,0.4461934559526899,0.5449713647425598
1.001,-1.5,1,1.3,1,0.020312500000000004,0.45874455276493553,0.12652774559669513,0.12178340271573254,0.5320035020758975
1.001,-1.5,1,0.9,0,0.033593750000000006,0.12172543026433649,0.07898206564750636,0.14233705010275904,0.6639263022234261
1.001,-1.5,1,1.1,0,0.02421875,0.1242852203207598,0.10321871867052705,0.10465509980021401,0.7420308277559509
1.001,-1.5,1,1.1,0,0.020019531250000007,0.4086625962079025,0.12027397291155666,0.14627075592148406,0.4863232604260183
1.001,-1.5,1,0.7,0,0.01999511718750001,0.31695680402531906,0.05433013510446601,0.23573833842076536,0.6233090386543587
